_id,hodnota,pohlavi_kod,vek_txt,vuzemi_txt
6181b1b8973323caadff5fcc,653654,M,,Hlavní město Praha
6181b1b8973323caadff5fcd,57955,M,,Trutnov
6181b1b8973323caadff5fce,52080,M,,Chrudim
6181b1b8973323caadff5fcf,87707,M,,Pardubice
6181b1b8973323caadff5fd0,46986,M,,Havlíčkův Brod
6181b1b8973323caadff5fd1,56593,M,,Jihlava
6181b1b8973323caadff5fd2,54793,M,,Třebíč
6181b1b8973323caadff5fd3,81824,M,,Kladno
6181b1b8973323caadff5fd4,51679,M,,Kolín
6181b1b8973323caadff5fd5,66463,M,,Mladá Boleslav
6181b1b8973323caadff5fd6,56832,M,,Příbram
6181b1b8973323caadff5fd7,96333,M,,České Budějovice
6181b1b8973323caadff5fd8,35327,M,,Písek
6181b1b8973323caadff5fd9,50556,M,,Tábor
6181b1b8973323caadff5fda,95417,M,,Plzeň-město
6181b1b8973323caadff5fdb,45185,M,,Cheb
6181b1b8973323caadff5fdc,56215,M,,Karlovy Vary
6181b1b8973323caadff5fdd,63444,M,,Děčín
6181b1b8973323caadff5fde,62271,M,,Chomutov
6181b1b8973323caadff5fdf,59165,M,,Litoměřice
6181b1b8973323caadff5fe0,55121,M,,Most
6181b1b8973323caadff5fe1,64390,M,,Teplice
6181b1b8973323caadff5fe2,58169,M,,Ústí nad Labem
6181b1b8973323caadff5fe3,50832,M,,Česká Lípa
6181b1b8973323caadff5fe4,44154,M,,Jablonec nad Nisou
6181b1b8973323caadff5fe5,86160,M,,Liberec
6181b1b8973323caadff5fe6,80335,M,,Hradec Králové
6181b1b8973323caadff5fe7,185967,M,,Brno-město
6181b1b8973323caadff5fe8,57390,M,,Břeclav
6181b1b8973323caadff5fe9,75793,M,,Hodonín
6181b1b8973323caadff5fea,56595,M,,Znojmo
6181b1b8973323caadff5feb,114600,M,,Olomouc
6181b1b8973323caadff5fec,53011,M,,Prostějov
6181b1b8973323caadff5fed,63420,M,,Přerov
6181b1b8973323caadff5fee,58982,M,,Šumperk
6181b1b8973323caadff5fef,51278,M,,Kroměříž
6181b1b8973323caadff5ff0,69610,M,,Uherské Hradiště
6181b1b8973323caadff5ff1,70224,M,,Vsetín
6181b1b8973323caadff5ff2,93473,M,,Zlín
6181b1b8973323caadff5ff3,105788,M,,Frýdek-Místek
6181b1b8973323caadff5ff4,118488,M,,Karviná
6181b1b8973323caadff5ff5,74646,M,,Nový Jičín
6181b1b8973323caadff5ff6,86074,M,,Opava
6181b1b8973323caadff5ff7,154076,M,,Ostrava-město
6181b1b8973323caadff5ff8,681430,Z,,Hlavní město Praha
6181b1b8973323caadff5ff9,99423,Z,,Plzeň-město
6181b1b8973323caadff5ffa,46249,Z,,Cheb
6181b1b8973323caadff5ffb,58159,Z,,Karlovy Vary
6181b1b8973323caadff5ffc,65005,Z,,Děčín
6181b1b8973323caadff5ffd,62329,Z,,Chomutov
6181b1b8973323caadff5ffe,60012,Z,,Litoměřice
6181b1b8973323caadff5fff,55812,Z,,Most
6181b1b8973323caadff6000,64440,Z,,Teplice
6181b1b8973323caadff6001,60482,Z,,Ústí nad Labem
6181b1b8973323caadff6002,52166,Z,,Česká Lípa
6181b1b8973323caadff6003,46044,Z,,Jablonec nad Nisou
6181b1b8973323caadff6004,89305,Z,,Liberec
6181b1b8973323caadff6005,84100,Z,,Hradec Králové
6181b1b8973323caadff6006,59459,Z,,Trutnov
6181b1b8973323caadff6007,52628,Z,,Chrudim
6181b1b8973323caadff6008,88430,Z,,Pardubice
6181b1b8973323caadff6009,47626,Z,,Havlíčkův Brod
6181b1b8973323caadff600a,57071,Z,,Jihlava
6181b1b8973323caadff600b,55544,Z,,Třebíč
6181b1b8973323caadff600c,196438,Z,,Brno-město
6181b1b8973323caadff600d,59092,Z,,Břeclav
6181b1b8973323caadff600e,77814,Z,,Hodonín
6181b1b8973323caadff600f,57957,Z,,Znojmo
6181b1b8973323caadff6010,120841,Z,,Olomouc
6181b1b8973323caadff6011,55493,Z,,Prostějov
6181b1b8973323caadff6012,65481,Z,,Přerov
6181b1b8973323caadff6013,60985,Z,,Šumperk
6181b1b8973323caadff6014,53548,Z,,Kroměříž
6181b1b8973323caadff6015,72020,Z,,Uherské Hradiště
6181b1b8973323caadff6016,72479,Z,,Vsetín
6181b1b8973323caadff6017,97487,Z,,Zlín
6181b1b8973323caadff6018,108799,Z,,Frýdek-Místek
6181b1b8973323caadff6019,124291,Z,,Karviná
6181b1b8973323caadff601a,85021,Z,,Kladno
6181b1b8973323caadff601b,52094,Z,,Kolín
6181b1b8973323caadff601c,64579,Z,,Mladá Boleslav
6181b1b8973323caadff601d,58404,Z,,Příbram
6181b1b8973323caadff601e,100269,Z,,České Budějovice
6181b1b8973323caadff601f,36261,Z,,Písek
6181b1b8973323caadff6020,51895,Z,,Tábor
6181b1b8973323caadff6021,76752,Z,,Nový Jičín
6181b1b8973323caadff6022,89703,Z,,Opava
6181b1b8973323caadff6023,163246,Z,,Ostrava-město
6181b1b8973323caadff6024,1335084,,,Hlavní město Praha
6181b1b8973323caadff6025,124600,,,Chomutov
6181b1b8973323caadff6026,71588,,,Písek
6181b1b8973323caadff6027,128449,,,Děčín
6181b1b8973323caadff6028,196602,,,České Budějovice
6181b1b8973323caadff6029,108504,,,Prostějov
6181b1b8973323caadff602a,166845,,,Kladno
6181b1b8973323caadff602b,115236,,,Příbram
6181b1b8973323caadff602c,214587,,,Frýdek-Místek
6181b1b8973323caadff602d,119177,,,Litoměřice
6181b1b8973323caadff602e,194840,,,Plzeň-město
6181b1b8973323caadff602f,317322,,,Ostrava-město
6181b1b8973323caadff6030,142703,,,Vsetín
6181b1b8973323caadff6031,116482,,,Břeclav
6181b1b8973323caadff6032,114374,,,Karlovy Vary
6181b1b8973323caadff6033,102998,,,Česká Lípa
6181b1b8973323caadff6034,128901,,,Přerov
6181b1b8973323caadff6035,164435,,,Hradec Králové
6181b1b8973323caadff6036,153607,,,Hodonín
6181b1b8973323caadff6037,114552,,,Znojmo
6181b1b8973323caadff6038,118651,,,Ústí nad Labem
6181b1b8973323caadff6039,151398,,,Nový Jičín
6181b1b8973323caadff603a,90198,,,Jablonec nad Nisou
6181b1b8973323caadff603b,175777,,,Opava
6181b1b8973323caadff603c,235441,,,Olomouc
6181b1b8973323caadff603d,104708,,,Chrudim
6181b1b8973323caadff603e,94612,,,Havlíčkův Brod
6181b1b8973323caadff603f,104826,,,Kroměříž
6181b1b8973323caadff6040,110933,,,Most
6181b1b8973323caadff6041,102451,,,Tábor
6181b1b8973323caadff6042,110337,,,Třebíč
6181b1b8973323caadff6043,242779,,,Karviná
6181b1b8973323caadff6044,119967,,,Šumperk
6181b1b8973323caadff6045,382405,,,Brno-město
6181b1b8973323caadff6046,117414,,,Trutnov
6181b1b8973323caadff6047,190960,,,Zlín
6181b1b8973323caadff6048,141630,,,Uherské Hradiště
6181b1b8973323caadff6049,128830,,,Teplice
6181b1b8973323caadff604a,175465,,,Liberec
6181b1b8973323caadff604b,176137,,,Pardubice
6181b1b8973323caadff604c,91434,,,Cheb
6181b1b8973323caadff604d,113664,,,Jihlava
6181b1b8973323caadff604e,103773,,,Kolín
6181b1b8973323caadff604f,131042,,,Mladá Boleslav
6181b1b8973323caadff6050,10990,,25-30,Plzeň-město
6181b1b8973323caadff6051,5130,,25-30,Cheb
6181b1b8973323caadff6052,6255,,25-30,Karlovy Vary
6181b1b8973323caadff6053,7367,,25-30,Děčín
6181b1b8973323caadff6054,6785,,25-30,Litoměřice
6181b1b8973323caadff6055,7401,,25-30,Chomutov
6181b1b8973323caadff6056,6610,,25-30,Most
6181b1b8973323caadff6057,7495,,25-30,Teplice
6181b1b8973323caadff6058,6990,,25-30,Ústí nad Labem
6181b1b8973323caadff6059,6032,,25-30,Česká Lípa
6181b1b8973323caadff605a,5017,,25-30,Jablonec nad Nisou
6181b1b8973323caadff605b,10121,,25-30,Liberec
6181b1b8973323caadff605c,9385,,25-30,Hradec Králové
6181b1b8973323caadff605d,6494,,25-30,Trutnov
6181b1b8973323caadff605e,6290,,25-30,Chrudim
6181b1b8973323caadff605f,10172,,25-30,Pardubice
6181b1b8973323caadff6060,5452,,25-30,Havlíčkův Brod
6181b1b8973323caadff6061,6670,,25-30,Jihlava
6181b1b8973323caadff6062,6787,,25-30,Třebíč
6181b1b8973323caadff6063,23145,,25-30,Brno-město
6181b1b8973323caadff6064,6853,,25-30,Břeclav
6181b1b8973323caadff6065,9202,,25-30,Hodonín
6181b1b8973323caadff6066,6990,,25-30,Znojmo
6181b1b8973323caadff6067,13455,,25-30,Olomouc
6181b1b8973323caadff6068,6127,,25-30,Prostějov
6181b1b8973323caadff6069,7554,,25-30,Přerov
6181b1b8973323caadff606a,7027,,25-30,Šumperk
6181b1b8973323caadff606b,6062,,25-30,Kroměříž
6181b1b8973323caadff606c,8261,,25-30,Uherské Hradiště
6181b1b8973323caadff606d,8589,,25-30,Vsetín
6181b1b8973323caadff606e,10740,,25-30,Zlín
6181b1b8973323caadff606f,12613,,25-30,Frýdek-Místek
6181b1b8973323caadff6070,14741,,25-30,Karviná
6181b1b8973323caadff6071,9192,,25-30,Nový Jičín
6181b1b8973323caadff6072,9965,,25-30,Opava
6181b1b8973323caadff6073,19019,,25-30,Ostrava-město
6181b1b8973323caadff6074,80144,,25-30,Hlavní město Praha
